datetime,market_price_usd,total_supply,market_cap_usd,realised_cap_usd,nupl,coin_days_destroyed,active_addresses,fear_greed_value,lightning_nodes,lightning_capacity_usd,fear_greed_category_Extreme Fear,fear_greed_category_Extreme Greed,fear_greed_category_Fear,fear_greed_category_Greed,fear_greed_category_Neutral
2019-10-14 00:00:00,8361.53,17992383,150443854782.79285,102272524105.2824,0.3201947380772649,77852216.3297423,714529.0,37.0,4801.0,6757067.584,0,0,1,0,0
2019-10-15 00:00:00,8174.54,17994296,147095092791.46844,102194333119.53662,0.305249881691064,14826716.76758496,732096.0,39.0,4801.0,6749785.552,0,0,1,0,0
2019-10-16 00:00:00,8001.68,17996083,143998901780.13452,102138217309.78108,0.290701414752931,6130124.151610762,763139.0,40.0,4801.0,6513257.128,0,0,1,0,0
2019-10-17 00:00:00,8063.82,17997958,145132298074.1191,102118222267.60432,0.2963783828775831,8017229.057062573,751155.0,40.0,4786.0,6532349.703,0,0,1,0,0
2019-10-18 00:00:00,7956.88,17999958,143223510147.31976,102088840852.94066,0.2872061245536292,9746707.809832787,699255.0,40.0,4786.0,6435455.232,0,0,1,0,0
2019-10-19 00:00:00,7942.52,18001733,142979128715.61395,102098435527.74548,0.2859207043370668,2637574.111652328,654735.0,41.0,4786.0,6462358.994,0,0,1,0,0
2019-10-20 00:00:00,8208.36,18003558,147779689818.2094,102127870523.08974,0.3089180884821051,3491418.9364834274,593306.0,37.0,4786.0,6497274.558,0,0,1,0,0
2019-10-21 00:00:00,8205.3,18005546,147740906962.8118,102097577700.72871,0.3089417156046839,34582924.71035996,763038.0,37.0,4786.0,6696622.288,0,0,1,0,0
2019-10-22 00:00:00,8037.43,18007658,144735295019.11728,102067248576.44376,0.2948005628968229,3724999.9816084295,749792.0,39.0,4786.0,6679880.636,0,0,1,0,0
2019-10-23 00:00:00,7470.41,18009758,134540280331.94704,101873556158.65443,0.2428025576629915,5811485.869542241,768722.0,33.0,4786.0,6527879.361,0,0,1,0,0
2019-10-24 00:00:00,7435.01,18011421,133915095583.58005,101684534239.59982,0.2406790750775684,9502583.807248622,732414.0,20.0,4835.0,6115939.288,1,0,0,0,0
2019-10-25 00:00:00,8651.35,18013146,155838031036.17172,101898536362.47765,0.3461253605108378,12738947.398356574,806794.0,24.0,4835.0,6238530.867,1,0,0,0,0
2019-10-26 00:00:00,9220.18,18014896,166100584215.93335,102203134119.73167,0.3846913025491469,7809174.890848417,783057.0,53.0,4835.0,7512153.923,0,0,0,0,1
2019-10-27 00:00:00,9529.95,18016333,171694757866.90945,102302524519.21196,0.4041604659909735,4924939.791287006,608889.0,50.0,4835.0,7653650.35,0,0,0,0,1
2019-10-28 00:00:00,9217.14,18018008,166074507280.20663,102488989572.82376,0.3828734388481383,13936915.516747428,770522.0,52.0,4835.0,7702685.2,0,0,0,0,1
2019-10-29 00:00:00,9395.56,18019671,169304900483.3006,102646973531.46782,0.3937152838550446,10457679.404057711,745317.0,54.0,4835.0,7692468.177,0,0,0,0,1
2019-10-30 00:00:00,9180.6,18021346,165446769500.47336,102676405317.6446,0.3793991528051514,4909034.195736777,745381.0,53.0,4835.0,7547551.428,0,0,0,0,1
2019-10-31 00:00:00,9159.78,18022996,165086678712.81705,102718051420.26804,0.3777932161385643,13528228.559756868,721479.0,50.0,4847.0,7514751.528,0,0,0,0,1
2019-11-01 00:00:00,9252.84,18024621,166778934589.76215,102889964317.09056,0.3830757789035155,36236533.98284004,811229.0,49.0,4847.0,7498849.985,0,0,0,0,1
2019-11-02 00:00:00,9315.17,18026296,167918012129.2453,102932856758.35329,0.3870052685049261,4677428.889203133,649866.0,51.0,4847.0,7588509.839,0,0,0,0,1
2019-11-03 00:00:00,9212.14,18028021,166076653789.23178,102943649291.03436,0.3801437652899706,3784490.516173592,650360.0,56.0,4847.0,7508336.537,0,0,0,1,0
2019-11-04 00:00:00,9371.13,18029671,168958391219.67194,103013621728.03143,0.3903018312118168,4830211.823360448,760820.0,49.0,4847.0,7509156.238,0,0,0,0,1
2019-11-05 00:00:00,9309.31,18031471,167860553713.67172,102745945704.99004,0.3879089313606755,32136242.07804989,811465.0,54.0,4847.0,7598304.342,0,0,0,0,1
2019-11-06 00:00:00,9340.05,18033121,168430252216.09418,102776012761.77975,0.3898007548553733,20699542.376059547,854864.0,53.0,4847.0,7586423.729,0,0,0,0,1
2019-11-07 00:00:00,9204.6,18034808,166003198733.0527,102815447012.8894,0.3806417719803977,10659057.749515671,803598.0,54.0,4811.0,7506135.004,0,0,0,0,1
2019-11-08 00:00:00,8781.77,18036408,158391591467.98203,102732743902.21445,0.351400267210641,5193714.616911315,740142.0,42.0,4811.0,7348629.25,0,0,1,0,0
2019-11-09 00:00:00,8812.28,18038208,158957744396.68915,102730089834.94412,0.3537270535333298,2356401.195051688,747618.0,38.0,4811.0,7172307.628,0,0,1,0,0
2019-11-10 00:00:00,9020.47,18040283,162731836508.9169,102768517410.86388,0.3684793362162253,1692162.694309672,608540.0,39.0,4811.0,7208885.226,0,0,1,0,0
2019-11-11 00:00:00,8729.92,18042171,157506709848.9252,102769587458.1376,0.3475224797933338,5355424.898365212,721190.0,40.0,4811.0,7118530.476,0,0,1,0,0
2019-11-12 00:00:00,8786.85,18043858,158548678455.89047,102764292798.08456,0.35184390182934,5485678.504123935,697597.0,39.0,4811.0,7134681.65,0,0,1,0,0
2019-11-13 00:00:00,8770.78,18045546,158273514340.32278,102990663885.0978,0.3492868069913121,36884358.04523843,778776.0,38.0,4811.0,7148730.337,0,0,1,0,0
2019-11-14 00:00:00,8651.98,18047658,156147980777.93005,102978175940.31557,0.3405090771761649,3894622.1166462367,770964.0,41.0,4817.0,7088050.782,0,0,1,0,0
2019-11-15 00:00:00,8478.49,18049633,153033637514.7128,102960467708.98508,0.3272036829217605,7737083.909985209,783649.0,38.0,4817.0,7039257.736,0,0,1,0,0
2019-11-16 00:00:00,8500.14,18051483,153440137339.96146,102959647578.04314,0.3289914271262278,1506732.7987142808,703108.0,41.0,4817.0,6973120.895,0,0,1,0,0
2019-11-17 00:00:00,8508.5,18053408,153607426604.89743,102972242538.5253,0.3296402080650294,1949623.9109756087,618290.0,38.0,4817.0,7012063.595,0,0,1,0,0
2019-11-18 00:00:00,8191.42,18055158,147897386808.45758,102907440362.90164,0.3041970342844704,14536162.611558463,706583.0,38.0,4817.0,6979636.935,0,0,1,0,0
2019-11-19 00:00:00,8130.13,18056996,146805725255.11124,102880104412.044,0.2992091811592198,5718231.712421718,850199.0,32.0,4817.0,6704434.079,0,0,1,0,0
2019-11-20 00:00:00,8094.46,18058771,146175999872.68707,102835684942.89977,0.2964940548895499,4357675.668930559,721713.0,32.0,4817.0,6691233.938,0,0,1,0,0
2019-11-21 00:00:00,7655.09,18060483,138254626980.28256,102678990945.6229,0.2573196775521542,8563970.811339369,810934.0,30.0,4894.0,6568384.508,0,0,1,0,0
2019-11-22 00:00:00,7295.6,18062133,131774101490.70044,102421602090.90552,0.222748621070024,24494936.088594887,823718.0,20.0,4894.0,6069735.701,1,0,0,0,0
2019-11-23 00:00:00,7309.69,18064296,132044404156.97408,102302777093.618,0.2252395870407298,13730804.959731366,692979.0,23.0,4894.0,5985139.844,1,0,0,0,0
2019-11-24 00:00:00,6935.11,18065933,125289236387.07332,102283429466.33884,0.1836215750382536,23948642.453552656,579123.0,21.0,4894.0,5984114.301,1,0,0,0,0
2019-11-25 00:00:00,7130.38,18067496,128828112449.1501,102191932957.86732,0.2067575080073953,12963250.879374476,682392.0,17.0,4894.0,5840510.052,1,0,0,0,0
2019-11-26 00:00:00,7157.7,18069021,129332631933.59874,102075917826.74814,0.210748932418267,8906838.828168996,799457.0,21.0,4894.0,5939273.169,1,0,0,0,0
2019-11-27 00:00:00,7514.98,18070758,135801389050.29646,102040801798.22733,0.2486026651727789,11578243.184668347,845211.0,20.0,4894.0,5986081.826,1,0,0,0,0
2019-11-28 00:00:00,7439.6,18072796,134454373456.17644,102019866046.34294,0.2412305868236044,2692420.2347983154,722124.0,32.0,4986.0,6231867.1,0,0,1,0,0
2019-11-29 00:00:00,7734.77,18074496,139802069773.77097,102034468244.92726,0.2701505177280965,4518151.953919826,750134.0,31.0,4986.0,6249722.361,0,0,1,0,0
